id,symbol,name,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
affyn,fyn,Affyn,9604817.0,908.0,1000000000.0,1000000000.0,303113660.0,https://assets.coingecko.com/coins/images/23275/large/fyn.png?1643526250,2022-02-01T07:19:38.681Z,2023-03-18T03:40:43.127Z
ageur,ageur,agEUR,15404413.0,739.0,17745805.5883802,,17745805.5883802,https://assets.coingecko.com/coins/images/19479/large/agEUR.png?1635283566,2023-03-13T13:19:34.014Z,2023-03-15T02:32:40.142Z
agoric,bld,Agoric,75186683.0,284.0,1036546363.60065,1250000000.0,525745274.326811,https://assets.coingecko.com/coins/images/24487/large/agoric_bld_logo.png?1675187507,2022-08-30T10:50:09.443Z,2023-05-17T08:55:51.142Z
ahatoken,aht,AhaToken,19793178.0,638.0,7773367076.06281,10500000000.0,3781394679.06912,https://assets.coingecko.com/coins/images/12158/large/2022_ahatoken.jpg?1663151219,2021-04-03T00:38:35.806Z,2020-11-04T04:03:38.673Z
a-hunters-dream,caw,A Hunters Dream,31374089.0,490.0,666666666666666.0,666666666666666.0,636666666666667.0,https://assets.coingecko.com/coins/images/25130/large/x-Logo-color-10x.png?1665831216,2022-06-04T18:14:15.904Z,2022-05-12T07:45:18.075Z
aimedis-new,aimx,Aimedis (NEW),2650808.0,1419.0,588000000.0,600000000.0,341500000.0,https://assets.coingecko.com/coins/images/29252/large/Aimedis_Logo_tg.png?1677646172,2023-03-07T18:40:48.882Z,2023-04-25T19:11:25.438Z
aioz-network,aioz,AIOZ Network,13909466.0,775.0,1017440116.33568,1000000000.0,954439021.493576,https://assets.coingecko.com/coins/images/14631/large/aioz-logo-200.png?1649237507,2021-04-03T11:55:34.211Z,2023-05-12T03:29:52.315Z
airbloc-protocol,abl,Airbloc,1035303.0,1889.0,400000000.0,,279158919.96191,https://assets.coingecko.com/coins/images/4393/large/airbloc-protocol-logo.png?1547039734,2021-10-31T09:34:02.831Z,2020-05-03T13:42:27.464Z
airswap,ast,AirSwap,18474946.0,668.0,500000000.0,500000000.0,177456878.7157,https://assets.coingecko.com/coins/images/1019/large/Airswap.png?1630903484,2018-01-09T00:00:00.000Z,2020-03-13T02:29:28.208Z
airtor-protocol,ator,AirTor Protocol,9820413.0,899.0,100000000.0,100000000.0,69858965.11169918,https://assets.coingecko.com/coins/images/29690/large/AirTor.png?1680669794,2023-05-04T13:11:44.506Z,2023-04-24T13:31:47.968Z
